id;att_org_id;name;reg_num;factory_num;fac_ids;si_err
24;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;93513;4;"Измерение температуры: ±0,20С; измерение относительной влажности: ±3,0%;измерение скорости движения воздуха: ±0,05-0,05V м/с (в диапазоне от 0,1 до 1 м/с), ±0,1+0,05V м/с (в диапазоне от 1 до 20 м/с); измерение ТНС-индекса: ±0,20С"
45;0;Анализатор шума и вибрации АССИСТЕНТ;39671-08;157413;4;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
50;0;Анализатор шума и вибрации АССИСТЕНТ;39671-08;162113;4;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
55;0;Анализатор шума и вибрации АССИСТЕНТ;39671-08;197114;4;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
60;0;Анализатор шума и вибрации АССИСТЕНТ;39671-08;202515;4;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
65;0;Калибратор акустический «Защита-К»;47740-11;76714;4;"±0,4%; ±0,6%"
67;0;Калибратор акустический «Защита-К»;47740-11;57213;4;"±0,4%; ±0,6%"
69;0;Калибратор акустический «Защита-К»;47740-11;55113;4;"±0,4%; ±0,6%"
71;0;Калибратор акустический «Защита-К»;47740-11;82815;4;"±0,4%; ±0,6%"
73;0;Шумомер-виброметр, анализатор спектра ЭКОФИЗИКА-110А;48906-12;БФ150212;4;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
120;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;346418;4;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
135;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;349218;4;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
148;0;Анализатор шума и вибрации АССИСТЕНТ;39671-08;287018;4;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
166;0;Шумомер-виброметр, анализатор спектра ЭКОФИЗИКА-110А;48906-12;БФ150201;4;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
171;0;Измеритель микроклимата «ЭкоТерма-1»;49002-12;130250;4;"Температура: ±0,2?С - ±0,3?С; Влажность ±2,0% - ±3,0%"
186;0;Термоанемометр ТТМ-2-04;44377-10;2852;4;не более ± (0,05 + 0,05V) м/c, где V – измеренная скорость потока, м/c
200;0;"Калибратор акустический ""Защита-К""";47740-11;122616;4;"±0,4%; ±0,6%"
10;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;86613;5;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
25;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;93513;5;"Измерение температуры: ±0,20С; измерение относительной влажности: ±3,0%;измерение скорости движения воздуха: ±0,05-0,05V м/с (в диапазоне от 0,1 до 1 м/с), ±0,1+0,05V м/с (в диапазоне от 1 до 20 м/с); измерение ТНС-индекса: ±0,20С"
46;0;Анализатор шума и вибрации АССИСТЕНТ;39671-08;157413;5;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
51;0;Анализатор шума и вибрации АССИСТЕНТ;39671-08;162113;5;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
56;0;Анализатор шума и вибрации АССИСТЕНТ;39671-08;197114;5;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
61;0;Анализатор шума и вибрации АССИСТЕНТ;39671-08;202515;5;"Шум: ±0,7дБ; Вибрация: ±0,3дБ"
66;0;Калибратор акустический «Защита-К»;47740-11;76714;5;"±0,4%; ±0,6%"
